Order,Family,Scientific name,Common name,Maximum longevity (yrs),Body mass (g),Female maturity (days),Metabolic rate (W),Data quality
Rodentia,Castoridae,castor_canadensis,American beaver,23.4,,639.0,,acceptable
Rodentia,Caviidae,cavia_porcellus,Guinea pig,12.0,639.1,66.0,2.13,high
Rodentia,Chinchillidae,chinchilla_lanigera,Long-tailed chinchilla,17.2,436.7,240.0,1.31,acceptable
Rodentia,Heteromyidae,dipodomys_ordii,Ord's kangaroo rat,9.9,47.8,61.0,0.33899999999999997,acceptable
Rodentia,Bathyergidae,fukomys_damarensis,Damaraland mole-rat,15.5,131.3,511.0,0.418,acceptable
Rodentia,Bathyergidae,heterocephalus_glaber,Naked mole-rat,31.0,35.3,228.0,0.128,high
Rodentia,Sciuridae,ictidomys_tridecemlineatus,Thirteen-lined ground squirrel,7.9,198.4,354.0,0.983,acceptable
Rodentia,Dipodidae,jaculus_jaculus,Lesser Egyptian jerboa,7.3,75.0,327.0,0.515,acceptable
Rodentia,Sciuridae,marmota_flaviventris,Yellow-bellied marmot,21.2,4295.0,730.0,8.626,acceptable
Rodentia,Sciuridae,marmota_marmota,Alpine marmot,17.4,,730.0,,acceptable
Rodentia,Muridae,meriones_unguiculatus,Mongolian jird,6.3,64.8,43.0,0.546,acceptable
Rodentia,Cricetidae,mesocricetus_auratus,Golden hamster,3.9,108.2,48.0,0.69,acceptable
Rodentia,Cricetidae,microtus_ochrogaster,Prairie vole,5.3,48.2,47.0,0.41,acceptable
Rodentia,Muridae,mus_musculus,House mouse,4.0,18.0,42.0,0.271,high
Rodentia,Cricetidae,neotoma_lepida,Desert woodrat,10.5,112.5,76.0,0.46,acceptable
Rodentia,Octodontidae,octodon_degus,Degu,14.0,199.6,182.0,0.958,acceptable
Rodentia,Cricetidae,peromyscus_maniculatus,Deer mouse,8.3,20.5,49.0,0.21899999999999997,acceptable
Rodentia,Muridae,rattus_norvegicus,Norway rat,3.8,206.9,90.0,1.4040000000000001,acceptable
