proteinID_x	mutTol_x	mutVul_x	proteinID_y	mutTol_y	mutVul_y	Aggregation_x	length_x	Aggregation_y	length_y
G5B678	0.3907407407407407	0.11481481481481481	Q3UHI4	0.5122316525212182	0.09485771342985522	4.147275862068965	261	3.3059447852760746	326
G5AQ71	0.36244745446053245	0.13498365249883232	A2CG49	0.35562885260084354	0.13577376446415054	3.033646250000001	2400	3.007452766531713	2964
G5C1Q7	0.19930313588850174	0.22508710801393728	A0A1W2P7S4	0.3284403669724771	0.1743119266055046	2.982352173913043	230	1.082608695652174	437
G5BQT4	0.2564102564102564	0.12773892773892773	Q9QYK9	0.30327102803738315	0.14018691588785046	4.179274566473988	346	4.195597667638485	343
G5CB95	0.499499899979996	0.09841968393678736	Q8C120	0.46281763826606875	0.10687593423019431	2.1973788063337403	821	1.6442779043280176	878
G5BYK8	0.5523141654978962	0.0364656381486676	Q7TPN9	0.6008075370121131	0.05491251682368775	1.9703959390862933	591	1.9757875816993475	612
G5B0K6	0.3126315789473684	0.05263157894736842	Q9DAM3	0.6724806201550387	0.055232558139534885	2.5172802547770696	157	0.02741071428571428	168
G5BVD4	0.37265093962415036	0.13954418232706917	P54728	0.44954848841774636	0.12328229289360032	3.285753694581281	406	3.1331418269230755	416
G5BAK5	0.27963917525773196	0.10824742268041238	Q9DAK4	0.39172749391727496	0.10827250608272507	1.3644	125	0.4004924242424242	132
G5AUZ1	0.352753900031837	0.14963387456224134	Q60676	0.3654029945842625	0.1465434851863651	3.3905170340681385	499	3.371380761523047	499
G5BGU2	0.4324693042291951	0.10879945429740791	O54829	0.38122866894197954	0.1273037542662116	2.344767590618336	469	2.3570618336886984	469
G5AUT8	0.5495197085127526	0.05862868499503147	Q8BH43	0.5404172099087353	0.05899608865710561	0.529314928425358	489	0.6462072434607647	497
G5B5W3	0.3526888815572418	0.1489607390300231	Q8BGQ7	0.36890447561790246	0.1426185704742819	4.329592065106812	983	4.530447314049587	968
G5BQH3	0.42811244979919677	0.08032128514056225	P06728	0.34596577017114916	0.07334963325183375	4.399154228855724	402	2.8971443037974685	395
G5B745	0.637727141620998	0.03432362272858379	Q8BQ46	0.6455103831529687	0.03363556595495759	0.0918180212014134	566	0.09330341113105924	557
G5BZV2	0.38845255784334537	0.12799830184674166	Q3UA37	0.3680598877105427	0.13599500935745476	3.485055263157893	760	3.4694015444015447	777
G5AXK5	0.4178962398857687	0.07710613993336507	Q9D832	0.3590109367570138	0.09272467902995721	3.5170801186943628	337	3.059400593471811	337
G5BCB9	0.31004110393423373	0.17146212566059893	Q60766	0.16778789077958053	0.19548872180451127	7.384360000000003	275	6.970515892420537	409
G5C909	0.3337243401759531	0.10674486803519062	Q8R0A0	0.2813299232736573	0.11125319693094629	0.8235645756457558	271	1.1897188755020076	249
G5BBH3	0.5624701955174058	0.06652360515021459	Q7TT18	0.5595430274431888	0.07140196200173848	4.330611445783133	664	1.2977036753445632	1306
G5AWZ4	0.3603544469970463	0.15228093206432555	Q9WUM4	0.21994627266621894	0.15715245130960376	4.159788934426232	488	4.505776371308016	474
G5C7H3	0.5508302270416808	0.08217553371738394	Q8BWB1	0.5799148936170213	0.08	0.953741836734694	980	0.3543333333333332	975
G5BX45	0.45454545454545453	0.11328125	P41158	0.34516616314199394	0.1216012084592145	3.082534934497817	458	2.9412651162790686	430
G5AXT2	0.46968325791855203	0.11312217194570136	D3Z4I3	0.23956194387405885	0.16495550992470911	0.4815955056179775	178	1.246533898305084	236
G5B5F9	0.5674135220125787	0.08746069182389937	Q5FWH6	0.5600699844479005	0.08864696734059098	1.006739904988124	842	1.5981684334511184	849
G5BRY2	0.07142857142857142	0.15097402597402598	P09920	0.2014331210191083	0.2627388535031847	3.9212097560975616	205	4.680269230769229	208
G5C7D8	0.3212121212121212	0.1696969696969697	P62313	0.31983805668016196	0.16396761133603238	2.90475	80	2.90475	80
G5BRJ5	0.25	0.1974187380497132	Q3UL36	0.961038961038961	0.02243211334120425	9.692381656804736	338	0.0	271
