proteinID_x,proteinID_y,%_identity,%_similarity,%_gaps,software
G5B0U1,A2ASS6,83.5,87.3,9.2,stretcher
G5C0E1,Q6ZWR6,82.3,89.7,2.1,stretcher
G5BZM0,A2AN08,96.4,98,0.4,stretcher
G5BP43,A2AAE1,95.2,97,0.8,stretcher
G5B601,E9Q1W3,76.6,79.4,19,stretcher
G5APN1,E9Q401,93.2,94.8,4.1,stretcher
G5AMB3,E9PZQ0,93.9,95.5,2.4,stretcher
G5BEE3,Q91ZX7,97.1,98,0.2,stretcher
G5AZH7,Q4U2R1,94.2,96.9,0.1,stretcher
G5C8Z7,A2ANY6,82,89.6,0.9,stretcher
G5B5V9,Q2PZL6,90.6,95,0.6,stretcher
G5BGS3,A2AGL3,89.2,91.8,4.9,stretcher
G5B3Y1,O88738,92.5,94.9,2.2,stretcher
G5BCZ7,Q6ZWQ0,67.4,78.9,3.9,stretcher
G5AWV7,Q9JI18,87.9,92.9,2.7,stretcher
G5C9Y4,Q7TMY8,97,98,0.6,stretcher
G5AMY9,Q9JLC8,90.3,93.9,2.9,stretcher
G5C996,A2AAJ9,46.3,53.4,32.7,stretcher
G5AKV4,E9Q2E4,92.3,94,4.7,stretcher
G5ARQ9,A0A1L1SQU7,87.8,94.1,1.2,stretcher
G5C9V6,Q8VHE6,88.5,94.2,0.3,stretcher
G5C4Z8,B1ART2,92.6,96,0.3,stretcher
G5B5D9,P0C6F1,89.8,94.1,1,stretcher
G5AVF2,Q69Z23,89.4,94.5,0.4,stretcher
G5C8Q7,A2ARV4,78.4,88.1,1.7,stretcher
G5BUD1,Q45VK7,91.4,96.3,0.4,stretcher
G5AMU8,Q8BRH4,77.8,83,8.6,stretcher
G5B2C3,B1AR51,87.4,93.8,0,stretcher
G5C1Q4,Q80W93,75.6,86.8,2,stretcher
G5B5L3,V9GX34,93.3,95.6,2.4,stretcher
G5AY29,Q8BKX6,96.9,98.5,0.2,stretcher
G5BV95,Q8BW94,85.6,92.2,0.4,stretcher
G5APK6,L7N1Y0,85.1,91.7,1.8,stretcher
G5BN21,Q5F226,80,88.4,0.3,stretcher
G5C321,Q80T14,82.8,90.2,1.2,stretcher
G5BI47,Q60841,94.1,97.4,0.7,stretcher
G5AVW7,E9PZP8,69.3,70.3,28.5,stretcher
G5AT03,Q6VNB8,95.4,97.4,0.6,stretcher
G5BY46,O08852,79.3,85.7,2.3,stretcher
G5BZW7,O88737,84,87.1,3.3,stretcher
G5AZT2,Q61329,84.1,85.6,10.8,stretcher
G5B864,P11531,89.7,93.9,1.1,stretcher
G5BHS5,P97313,80.4,89.4,0.6,stretcher
G5BHL8,P55200,83.7,86.9,7.8,stretcher
G5C6C4,D3YXG0,80.9,87.6,5.6,stretcher
G5AWB7,Q8BX70,84.7,91.9,1.1,stretcher
G5AL23,Q8BLN6,95.6,97.2,0.5,stretcher
G5AUB0,Q923L3,83.3,87.7,7.9,stretcher
G5BUL8,E9Q8T7,71.8,77.2,17.2,stretcher
G5C3Y6,Q8BNA6,66.8,70.7,26.7,stretcher
G5BMD6,Q8C8R3,79.9,85.6,3.1,stretcher
G5CA40,Q61554,94.2,96.7,1.7,stretcher
G5AZB7,E9Q414,65.7,78.1,5.7,stretcher
G5C092,A2AVA0,78.4,85.5,3.1,stretcher
G5AZ97,Q0KL02,88.3,89.8,7.5,stretcher
G5B9F3,Q91XQ0,72.1,75.5,20.8,stretcher
G5ALL2,Q60847,85.6,89.8,6.6,stretcher
G5C4V8,A2AJK6,94.2,96.2,0.5,stretcher
G5BMX3,Q9QZZ4,81,87.1,1.9,stretcher
G5C2I9,Q99PF4,88.2,91.2,6.3,stretcher
G5AZR7,P60882,94.6,96.2,1,stretcher
G5AVL5,Q91ZI0,71.7,74,21.5,stretcher
G5B7X4,E9Q8I9,94.4,96.2,1.4,stretcher
G5AMJ9,Q9QXZ0,62.8,68.4,23.2,stretcher
G5B8D2,F8VQ05,94.1,96.6,0.2,stretcher
G5C6W3,Q80T79,78.9,80.2,19.1,stretcher
G5BI06,Q05793,70.1,74.8,17.7,stretcher
G5C7K3,Q6NVD0,86.7,92.5,0.8,stretcher
G5AJK4,Q61555,85.6,87.4,11.3,stretcher
G5BL65,E9Q6R7,76.5,82.9,10,stretcher
G5BRT7,Q62504,76,82.1,5.7,stretcher
G5C9E0,Q8BPN8,87.5,92.3,2.2,stretcher
G5C1Z0,Q6ZQ93,77.5,78.7,20.3,stretcher
G5BZF2,P42859,87.4,90.9,4.5,stretcher
G5BTT2,Q6KCD5,97.1,98.8,0.2,stretcher
G5ARB5,Q99MY8,90.5,94.5,1.6,stretcher
G5BH96,Q8VHX6,97.1,97.8,1,stretcher
G5BQV8,Q9R0M0,88.8,90.8,5,stretcher
G5BN37,Q8VHN7,43.4,50.8,38,stretcher
G5B511,Q04690,92.3,93.2,6,stretcher
G5C0H1,Q80TP3,95.2,96.6,1.7,stretcher
G5AUP0,Q61493,85.4,91.1,0.9,stretcher
G5BYK6,A0A087WQ44,83.3,86.8,3.4,stretcher
G5C5M7,Q6PNC0,86.2,91.9,1.4,stretcher
G5BP45,Q9WTS5,91.2,92.4,6.9,stretcher
G5BEF2,Q3UHK6,90.6,92.4,6.2,stretcher
G5BFE6,Q9JLB4,68.8,81.1,0.4,stretcher
G5CAM0,Q69ZR2,98.1,98.9,0.3,stretcher
G5AVN0,Q9Z329,95,97.6,0.1,stretcher
G5BA32,Q61315,90.1,94,0.6,stretcher
G5B927,Q5SSH7,85.6,89.1,6.4,stretcher
G5AWT1,Q8CHI8,85,88.9,3.2,stretcher
G5BMH1,Q80X90,94,96.4,1.2,stretcher
G5BAT4,E9Q557,87.1,90.6,6.5,stretcher
G5B9K1,P70398,93.2,94,5.2,stretcher
G5AX85,Q80YV3,64.3,65.1,34.2,stretcher
G5BXR2,Q62388,82.3,90.4,0.7,stretcher
G5BLA4,Q5H8C4,79.1,86.6,5.5,stretcher
G5B0W4,E9Q2M9,77.9,85.8,2,stretcher
G5BKZ8,P26039,98.2,99.2,0.5,stretcher
G5B783,E9PVA8,93.2,96.4,0.3,stretcher
G5BCX2,A3KFM7,86.2,90.9,3.1,stretcher
G5AVL8,Q63870,79.3,84.9,4.2,stretcher
G5C5U7,Q9QXS1,78.6,81.1,16.5,stretcher
G5BCV3,Q99PV0,99.9,100,0,stretcher
G5ASE4,P16546,97.3,98.2,0.9,stretcher
G5AW14,O35516,89.5,93.7,1.6,stretcher
G5CB92,Q9ERU9,73.6,79.5,11.5,stretcher
G5B6A9,Q01705,87.1,91,3.6,stretcher
G5BVB4,O35161,73.3,77.6,15.6,stretcher
G5CB37,Q9WTS6,85.4,86.1,13.1,stretcher
G5BHR4,P11276,92.4,96,0.2,stretcher
G5BFV2,Q09XV5,90.8,92.2,5.7,stretcher
G5CAN6,Q8CIZ8,79.5,87.9,0.9,stretcher
G5AQF8,A2A9C3,68.8,71.7,23,stretcher
G5AZ55,Q9JKK8,89.9,95.3,0.4,stretcher
G5BR59,Q8BV79,79.6,87,3.9,stretcher
G5B875,E9PYP2,87.6,93.5,0.7,stretcher
G5BGT1,Q3TLH4,82.5,87,5.7,stretcher
G5B5P4,Q99NH0,91.4,93.6,2.8,stretcher
G5BXN0,O08550,84,85.9,7.9,stretcher
G5AQ71,A2CG49,78.6,79.6,19.7,stretcher
G5APQ3,B1AY13,89.8,91,8.3,stretcher
G5B8V8,Q62261,98.1,98.9,0.5,stretcher
G5BVE7,A2A654,77.2,83.4,7.7,stretcher
G5BEV1,Q60974,91.7,94.8,0.9,stretcher
G5BBK3,E9PVZ8,73.5,84.7,1.8,stretcher
G5BHR7,E9Q876,87,93.1,0.7,stretcher
G5BWZ4,Q68FG2,93.9,96.1,0.5,stretcher
G5B1K2,Q8BTI8,83.5,87.7,3.2,stretcher
G5AUH2,Q4U4S6,60,70,14.2,stretcher
G5C6U1,Q8C170,85.2,89.8,3.6,stretcher
G5BNQ2,O55225,76.3,81.4,6.1,stretcher
G5B1K8,P19137,69,81,3.7,stretcher
G5AYL8,E9Q309,73.4,81.2,7.3,stretcher
G5ASM1,Q2MHN3,83.9,87.9,1.5,stretcher
G5BKK9,Q61290,94.5,95.3,2.8,stretcher
G5APF4,O08523,96.4,97.9,0,stretcher
G5BKR1,D4AFX7,96.2,98.5,0.2,stretcher
G5AXI6,Q0KK59,82.2,84,13.8,stretcher
G5BHG2,Q5S006,85.8,93.2,0.6,stretcher
G5BUW1,Q9JJN2,60.4,63.1,32.6,stretcher
G5BQ01,O88491,79,85.1,4.6,stretcher
G5BR15,Q91ZU6,44.6,51.2,37.3,stretcher
G5B212,P14873,87,91,3.7,stretcher
G5C6C2,F6ZDS4,89.5,93,3.8,stretcher
G5BZN9,Q8BL99,88,90.9,4.8,stretcher
G5AYH1,E9Q616,41.7,46.9,48.1,stretcher
G5ANV9,Q9WVF7,90.5,94.8,0.8,stretcher
G5BMV9,Q6P4T2,99.5,99.9,0,stretcher
G5C8V1,P41233,93.3,96.9,0.1,stretcher
G5C9I8,Q80TN7,89.9,92.4,3.9,stretcher
G5B7K4,O88307,91,94.2,2,stretcher
G5AW78,P97479,91.4,93.5,5.1,stretcher
G5BBI8,Q5XG71,76.3,86.3,4.8,stretcher
G5BVH8,Q5SYL3,93.1,95.6,1.3,stretcher
G5BYZ9,B2RQC6,93,95.5,1.1,stretcher
G5B3U3,Q5SSE9,46.3,55.8,28,stretcher
G5BYQ0,Q61982,82.6,85.7,7.8,stretcher
G5C8A1,Q5SWW4,92.8,96.5,0.9,stretcher
G5BQL2,Q9QYC1,88.8,93.2,2.4,stretcher
G5BVC4,B2RWS6,83.6,86.9,6,stretcher
G5C7X2,Q5DU37,82.1,89.8,0.7,stretcher
G5APY8,Q80XJ3,85.5,88.7,6.3,stretcher
G5BJ62,Q3UHR0,80,84.1,4.8,stretcher
G5AR21,E9Q842,84.8,87.5,6.5,stretcher
G5B5M8,Q6V4S5,92.7,95.6,2.1,stretcher
G5BC57,Q07113,80,87.9,3.5,stretcher
G5BM50,Q9QYR6,68.9,74.7,11.2,stretcher
G5AWB5,Q71LX4,83.8,84.7,14.6,stretcher
G5BL79,Q80TA9,79.2,86,6.4,stretcher
G5C4K4,Q5SUF7,80.9,82.5,12.4,stretcher
G5AW26,O35600,86.5,92.1,2.2,stretcher
G5BM34,Q80TF6,53.2,63.9,5.4,stretcher
G5C6Q5,O08710,72.3,82.2,0.8,stretcher
G5ALL7,P70227,77.6,80.5,16.3,stretcher
G5B5C5,P08775,99.9,99.9,0,stretcher
G5BH58,E9PZJ8,91.3,95.7,0.8,stretcher
G5C607,Q69ZK6,78.5,84.5,8.1,stretcher
G5B6E9,Q9Z1T6,93.4,96.6,0,stretcher
G5C0I5,Q61687,82.2,88.5,3,stretcher
G5BZT8,Q8CIQ7,96.5,97.6,0.9,stretcher
G5AUC8,Q3UGY8,91.3,94.1,2.5,stretcher
G5AKS3,Q6JPI3,87.3,90.8,5.3,stretcher
G5B786,P49025,95.2,96.8,1.5,stretcher
G5B6J8,Q8VI59,95.5,97,0.1,stretcher
G5BG05,O55017,85.8,88.2,6.5,stretcher
G5C369,Q811L6,77.4,81.6,7.2,stretcher
G5BDK2,A2A690,97.7,98.5,0.6,stretcher
G5AVD8,Q8BTM8,87.2,88.5,9.6,stretcher
G5API6,E9Q4F7,72.7,78.4,13.4,stretcher
G5BUP2,Q99246,89,90.8,7.5,stretcher
G5BE80,Q69ZN7,92.7,96.3,0.6,stretcher
G5AM30,Q9QX47,81.6,86.1,5.7,stretcher
G5BW30,A2AGH6,90.1,91.2,7.1,stretcher
G5AW46,Q9ESD7,89.1,92.6,3.5,stretcher
G5BZ79,Q8C547,95.8,97.3,0,stretcher
G5ASW7,G5E870,94.6,95.5,3.4,stretcher
G5BEI9,P41234,72.3,74.7,18.6,stretcher
G5ATY2,Q9WTU3,97.7,98.8,0.3,stretcher
G5BSW1,P08032,79.4,87.8,3.1,stretcher
G5AVY8,Q9EPN1,67.5,69.6,25.4,stretcher
G5BJ97,P19096,77.6,85.9,3.9,stretcher
G5CAQ0,Q6PDQ2,97.8,98.3,0.9,stretcher
G5BCA6,P59764,94.7,95.7,3.4,stretcher
G5BUG2,Q6P4S8,88.6,92,2.4,stretcher
G5C8C8,E9QAM5,65.7,75.1,7,stretcher
G5BVJ4,Q9JMH9,94.4,96.7,0.3,stretcher
G5BXE0,Q8C147,90.6,95,1,stretcher
G5AQJ3,A2A884,79.7,85.1,2.8,stretcher
