proteinID,all_MT,unique_MT
A0A075B668,1783,1219
A0A087WP46,10828,7330
A0A087WPF7,2332,1576
A0A087WPJ1,4231,2926
A0A087WQ44,29449,19754
A0A087WQ89,1864,1256
A0A087WR45,9100,6087
A0A087WRI3,2557,1755
A0A087WRU1,5878,4090
A0A0A6YW72,30124,20556
A0A0B4J1F4,3745,2551
A0A0B4J1F8,712,467
A0A0B4J1N3,712,481
A0A0G2JG52,18595,12759
A0A0G2JGH6,12097,8430
A0A0G2JGN5,5221,3551
A0A0M3U1B0,7588,5239
A0A0N4SUK7,6400,4429
A0A0N4SVR5,4492,3102
A0A0U1RNF2,2998,2072
A0A0U1RNT7,1693,1160
A0A0U1RPM1,2701,1882
A0A140LI11,3817,2563
A0A140LI28,3898,2719
A0A140LI88,15895,10996
A0A140LIP2,8587,5868
A0A140LIW3,15976,10879
A0A140LIY9,21043,14347
A0A1B0GRJ3,2503,1750
A0A1B0GRQ2,1243,854
A0A1B0GS00,2071,1396
A0A1B0GS61,1864,1277
A0A1B0GST9,541,374
A0A1B0GT24,1378,942
A0A1D5RMC2,6058,4239
A0A1D5RMN0,2521,1770
A0A1L1SQU7,41815,28833
A0A1L1SR01,3322,2294
A0A1L1SSC7,7606,5228
A0A1L1ST33,4528,3156
A0A1L1STL9,1018,689
A0A1L1SU27,10963,7428
A0A1L1SUL6,2971,2038
A0A1W2P7H6,4123,2842
A0A1W2P7S4,3943,2726
A0A1W2P7T4,1369,915
A0A1Y7VJ29,1225,832
A0A1Y7VMP7,12997,8954
A0A1Y7VNZ0,4798,3285
A0A286YCQ8,730,506
A0A286YCV9,16633,11386
A0A286YCZ6,2152,1487
A0A286YDB2,838,600
A0A286YDK6,2467,1673
A0A286YDY8,2881,1961
A0A2I3BQG2,16435,11116
A0A2I3BQS8,640,437
A0A2I3BR81,4987,3435
A0A2I3BR92,10009,6924
A0A2I3BRN2,4105,2751
A0A2I3BRZ3,7147,4802
A0A2R8VJU7,3223,2202
A0A2R8VKG2,18901,12752
A0A338P6G2,3934,2627
A0A338P6K9,16102,11044
A0A338P6S8,14743,10012
A0JLY1,4933,3484
A0JNT9,5203,3562
A0JNU3,5086,3423
A0PJN4,1459,1001
A1A547,3133,2169
A1E5L0,1261,849
A1E960,2467,1668
A1KXC4,3808,2589
A1L0T3,5284,3563
A1L317,4618,3142
A1L3C1,1918,1295
A1L3T7,8452,5716
A2A3V1,8641,6036
A2A472,4933,3349
A2A484,11125,7730
A2A4P0,11206,7706
A2A4P4,4897,3338
A2A591,892,610
A2A592,901,622
A2A5E6,3871,2607
A2A5I3,2287,1562
A2A5K6,12043,8233
A2A5N3,5473,3746
A2A5N8,7444,5105
A2A5R2,16138,11132
A2A5Z6,6742,4657
A2A654,27334,18791
A2A690,17956,12246
A2A6H3,4069,2776
A2A6Q5,7435,5123
A2A6T1,4195,2883
A2A716,8677,5921
A2A761,5293,3658
A2A791,13951,9658
A2A7B5,15391,10564
A2A7F4,17272,12042
A2A7S8,9127,6110
A2A7Y5,3493,2369
A2A7Z8,3682,2507
A2A825,2332,1576
A2A870,10567,7229
A2A884,21142,14385
A2A8L5,17092,11638
A2A8R0,12583,8676
A2A9C3,30889,20831
A2A9F4,3583,2450
A2A9G7,1711,1166
A2A9K7,6310,4287
A2AA28,2287,1563
A2AAX3,5446,3756
A2AAY5,8182,5622
A2AB59,7831,5330
A2ABG4,6904,4716
A2ABU4,12961,8903
A2ABV5,13141,8981
A2ABX0,5536,3742
A2AC93,5617,3903
A2ACG1,1792,1208
A2ACJ2,7921,5359
A2ACP1,5212,3597
A2ACQ1,6337,4319
A2ACT7,6130,4071
A2ADA5,2629,1765
A2ADB2,2467,1693
A2ADF7,2872,1908
A2ADM8,14662,9908
A2ADU8,3043,2078
A2ADY9,3601,2469
A2AE20,1450,1010
A2AE21,5815,4095
A2AED3,6643,4515
A2AEV7,5671,3806
A2AF28,3124,2104
A2AF47,18667,12984
A2AFK4,3655,2481
A2AFR3,11890,8170
A2AFS9,3403,2337
A2AG06,8695,6031
A2AG50,7039,4840
A2AG58,6778,4758
A2AGB2,4915,3379
A2AGH5,4051,2785
A2AGH6,19720,13471
A2AH22,11710,7938
A2AHC3,14239,9824
A2AHG0,6310,4255
A2AHJ4,16201,11129
A2AI08,6751,4549
A2AI76,5806,3887
A2AIG8,4528,3102
A2AIL4,3007,2071
A2AIV2,16309,11197
A2AIV8,4834,3345
A2AJ15,5932,4072
A2AJ77,3295,2264
A2AJ88,12178,8283
A2AJA7,11062,7515
A2AJB1,4816,3331
A2AJI0,7624,5184
A2AJL3,4978,3391
A2AJT4,7255,5020
A2AJW4,2521,1699
A2AJW5,3493,2390
A2AKB4,13951,9546
A2AKB9,5104,3439
A2AKG8,16192,11028
A2AKX3,23824,16502
A2AKY4,10810,7522
A2AL36,21016,14655
A2ALI5,3718,2496
A2ALV5,13339,9235
A2AM29,5131,3557
A2AMD2,2872,1941
A2AMM0,3268,2254
A2AMT1,6031,4157
A2AN08,46630,31953
A2ANX9,6850,4793
A2ANY6,50311,34546
A2APB8,6715,4661
A2APC3,4159,2874
A2APF3,5734,3988
A2APT9,6967,4739
A2APY7,3097,2122
A2AQ07,4069,2795
A2AQ14,2179,1479
A2AQ19,6445,4458
A2AQH1,4735,3237
A2AQH4,16039,10877
A2AQP0,17479,12020
A2AQW0,11989,8273
A2AR02,6778,4748
A2AR50,5275,3596
A2AR95,3115,2147
A2ARA8,9568,6589
A2ARM1,4771,3249
A2ARP1,12934,8902
A2ART8,5554,3816
A2AS37,3214,2235
A2AS55,3259,2238
A2AS89,3232,2162
A2ASA8,4933,3358
A2ASP7,1801,1227
A2ASZ8,4231,2908
A2AT37,11431,7994
A2ATD1,4096,2835
A2ATY4,4672,3215
A2AU37,4978,3438
A2AU72,7939,5455
A2AUC9,5464,3788
A2AUY4,19117,13165
A2AV25,4141,2810
A2AVA0,32113,22168
A2AVJ5,3340,2262
A2AVQ5,3736,2571
A2AWA9,9586,6641
A2AWP8,11530,7841
A2AWT3,3133,2171
A2BDX3,4150,2783
A2BE28,6994,4850
A2BFE8,1972,1356
A2BGH0,5563,3731
A2BGJ5,3277,2261
A2BH40,20557,14006
A2BHR2,1612,1098
A2CG49,26686,18495
A2CG63,11836,8244
A2RRY8,2431,1680
A2RSJ4,13123,9040
A2RSQ0,11476,7908
A2RSY1,8137,5454
A2RSY6,6562,4521
A2RT60,4357,2947
A2RT62,4321,2916
A2RT67,11476,7862
A2RT81,3178,2147
A2RTL5,3394,2334
A2RTS7,4303,2937
A2VDH3,2692,1829
A3KFM7,24409,16852
A3KFX0,3295,2262
A3KG59,3889,2666
A3KGB4,10036,6918
A3KGF7,10639,7341
A3KGF9,4915,3336
A3KGV1,7480,5207
A3KGW5,5338,3628
A3KMN5,2746,1879
A3KMP2,4195,2863
A4FUP9,3124,2133
A4Q9E5,8353,5696
A4Q9E8,7408,5130
A4Q9F0,8218,5666
A4Q9F1,7498,5172
A6H5Y1,8929,6150
A6H5Y3,11287,7804
A6H5Z3,7300,5066
A6H611,6409,4399
A6H619,15148,10279
A6H630,3961,2748
A6H639,4492,3081
A6H684,3961,2723
A6H687,3853,2576
A6H694,5743,3935
A6H6A4,5374,3678
A6H6A9,7345,5072
A6H6E2,8497,5829
A6H6Q4,1864,1265
A6H6S0,9460,6479
A6H8H2,17164,11771
A6PWD2,12790,8916
A6PWV5,3691,2480
A6X8Z5,12835,8778
