proteinID_y	domain_id	dom_start_y	dom_end_y	dom_agg_score_y	dom_length_y	proteinID_x	dom_start_x	dom_end_x	dom_agg_score_x	dom_length_x
Q3UHI4	PF13897	185	324	6.569521428571428	139	G5B678	122	260	6.642791366906475	138
A2CG49	PF00018	1625	1675	1.1154705882352942	50	G5AQ71	1066	1116	0.5985686274509802	50
A2CG49	PF00041	2542	2618	0.7093376623376624	76	G5AQ71	1985	2061	0.7084285714285714	76
A2CG49	PF00069	2655	2909	9.742592156862742	254	G5AQ71	2098	2352	9.74152549019608	254
A2CG49	PF00169	1464	1551	7.752306818181816	87	G5AQ71	905	992	7.7500113636363634	87
A2CG49	PF00435	292	386	0.1855368421052632	94	G5AQ71	544	637	3.6104787234042575	93
A2CG49	PF00435	569	621	0.0	52	G5AQ71	1	53	0.0	52
A2CG49	PF00435	872	970	0.29647474747474745	98	G5AQ71	304	411	0.1903611111111112	107
A2CG49	PF00435	1104	1196	3.6533333333333338	92	G5AQ71	545	637	3.2956989247311848	92
A2CG49	PF00621	1257	1426	2.823029411764705	169	G5AQ71	698	867	2.8200941176470584	169
A2CG49	PF00621	1903	2072	5.133699999999997	169	G5AQ71	1346	1515	5.169270588235293	169
A2CG49	PF07679	2442	2536	1.0503368421052632	94	G5AQ71	1885	1979	1.112852631578947	94
A2CG49	PF16609	1678	1861	0.20444565217391306	183	G5AQ71	1119	1304	0.20023118279569893	185
Q9QYK9	PF00069	23	269	5.810991902834009	246	G5BQT4	8	273	5.422849624060151	265
Q8C120	PF00018	192	237	0.14532608695652174	45	G5CB95	121	166	0.14554347826086958	45
Q8C120	PF00018	255	302	10.27239583333333	47	G5CB95	184	231	10.103812499999998	47
Q8C120	PF14604	464	514	7.142176470588236	50	G5CB95	415	465	5.338980392156863	50
Q8C120	PF14604	825	875	0.4018627450980392	50	G5CB95	769	819	0.4205882352941177	50
Q7TPN9	PF15386	487	543	1.7897192982456138	56	G5BYK8	468	524	1.78159649122807	56
Q9DAM3	PF00011	56	131	0.0	75	G5B0K6	53	126	0.0	73
P54728	PF09280	275	330	0.06749999999999999	55	G5BVD4	273	328	0.06758928571428571	55
P54728	PF00240	2	75	8.399635135135133	73	G5BVD4	3	73	8.963788732394367	70
P54728	PF00627	189	224	6.266638888888888	35	G5BVD4	187	222	6.28175	35
P54728	PF00627	373	407	12.268057142857144	34	G5BVD4	364	398	12.375571428571426	34
Q9DAK4	PF00061	5	118	0.4637280701754386	113	G5BAK5	6	118	1.5092920353982302	112
Q60676	PF00149	235	427	5.399227979274614	192	G5AUZ1	236	428	5.478626943005186	192
Q60676	PF00515	28	60	0.08206060606060607	32	G5AUZ1	29	61	0.10254545454545454	32
Q60676	PF08321	135	227	5.940494623655916	92	G5AUZ1	136	228	5.898731182795701	92
O54829	PF00610	39	109	6.201394366197183	70	G5BGU2	14	84	6.201535211267608	70
O54829	PF00615	334	446	2.963008849557522	112	G5BGU2	309	421	2.934601769911505	112
O54829	PF00631	254	314	0.024295081967213108	60	G5BGU2	229	289	0.024295081967213108	60
O54829	PF18148	112	213	3.1807941176470584	101	G5BGU2	87	188	3.18093137254902	101
Q8BH43	PF02205	432	457	1.1046153846153846	25	G5AUT8	425	450	1.1086538461538462	25
Q8BGQ7	PF01411	8	595	6.111297619047615	587	G5B5W3	9	596	5.913869047619049	587
Q8BGQ7	PF02272	813	956	1.1849583333333338	143	G5B5W3	814	972	1.0114968553459125	158
Q8BGQ7	PF07973	693	752	8.673783333333335	59	G5B5W3	694	753	8.942733333333337	59
P06728	PF01442	60	224	0.8389333333333329	164	G5BQH3	61	225	0.004193939393939394	164
P06728	PF01442	191	340	0.059233333333333325	149	G5BQH3	192	341	0.0069	149
Q3UA37	PF12012	600	758	7.336465408805032	158	G5BZV2	584	742	7.394314465408807	158
Q9D832	PF00226	3	64	0.8111935483870968	61	G5AXK5	4	65	3.483467741935484	61
Q9D832	PF01556	160	318	3.5533836477987424	158	G5AXK5	161	319	3.5391006289308184	158
Q60766	PF05049	136	398	8.802676806083648	262	G5BCB9	1	267	7.6056142322097395	266
Q8R0A0	PF02270	175	239	1.241969230769231	64	G5C909	198	262	1.225353846153847	64
Q8R0A0	PF17683	22	101	1.6632125000000002	79	G5C909	43	121	1.6751772151898734	78
Q7TT18	PF16788	601	683	4.915542168674701	82	G5BBH3	560	641	7.4411951219512185	81
Q9WUM4	PF00400	77	107	3.2940967741935485	30	G5AWZ4	142	172	15.9841935483871	30
Q9WUM4	PF00400	121	158	13.219315789473686	37	G5AWZ4	136	173	14.631947368421054	37
Q9WUM4	PF00400	172	201	2.1141333333333336	29	G5AWZ4	187	216	1.9398000000000004	29
Q9WUM4	PF08953	2	65	10.018859375	63	G5AWZ4	58	120	10.181238095238095	62
Q9WUM4	PF16300	342	384	0.20888372093023255	42	G5AWZ4	357	399	1.2918837209302323	42
Q8BWB1	PF17820	34	82	1.7638775510204083	48	G5C7H3	38	86	9.932204081632653	48
P41158	PF00178	6	84	7.807911392405062	78	G5BX45	35	113	6.662240506329115	78
D3Z4I3	PF00076	58	69	2.26575	11	G5AXT2	1	12	0.0	11
Q5FWH6	PF00621	430	605	3.4971306818181804	175	G5B5F9	424	599	1.2837500000000002	175
P09920	PF16647	57	204	4.104283783783783	147	G5BRY2	53	200	1.0691554054054049	147
P62313	PF01423	9	73	3.4974307692307693	64	G5C7D8	10	74	3.5750769230769235	64
Q3UL36	PF15346	127	225	0.0	98	G5BRJ5	242	338	0.0	96
Q9ES34	PF00612	29	48	3.74715	19	G5BDR6	30	49	0.7027500000000001	19
Q9ES34	PF00632	739	1069	3.6142205438066464	330	G5BDR6	738	1068	3.8015636363636363	330
Q9CQS9	PF15003	7	189	3.2394426229508206	182	G5BM33	8	190	4.301639344262297	182
Q9JK81	PF03690	45	364	3.2878124999999985	319	G5BIG1	23	341	2.527545454545455	318
P58044	PF00293	49	196	7.656797297297298	147	G5BUS6	109	256	8.110270270270266	147
Q8K479	PF00386	104	231	11.4366875	127	G5BHP5	105	232	10.282648437500006	127
Q8K479	PF01391	35	88	0.0	53	G5BHP5	36	89	0.0	53
Q9R0X5	PF00415	54	100	0.09608510638297872	46	G5BMQ8	30	76	5.016489361702127	46
Q9R0X5	PF00415	105	154	4.18314	49	G5BMQ8	81	130	0.6168600000000001	49
Q9R0X5	PF00415	157	204	2.13925	47	G5BMQ8	167	214	11.642645833333333	47
