H.sapiens,P.troglodytes,Chaperone_client,dN,dS,dN/dS,Protein-protein_interaction_(PPI),Protein_abundance,Codon_adaptation_index_(CAI),Aggregation_propensity
ENSG00000232263,KRTAP25-1,Non-client,0.0159,0.0403,0.394540943,,0,0.6257567,25.6652
ENSG00000180525,LOC100609481,Non-client,0.0133,0.0097,1.371134021,,0,0.4481301,25.6967
ENSG00000168062,BATF2,Non-client,0.0099,0.0095,1.042105263,17,0,0.4740491,29.4301
ENSG00000179580,RNF151,Non-client,0.0173,0.0204,0.848039216,3,0,0.4067272,41.5179
ENSG00000172969,FRG2C,Non-client,0.0069,0.0039,1.769230769,,0,0.5572274,55.7387
ENSG00000205549,C9H9orf92,Non-client,0.0123,0.0393,0.312977099,,0,0.6268427,62.5174
ENSG00000212933,KRTAP12-4,Non-client,0.0117,0.0266,0.439849624,9,0,0.4359606,65.3906
ENSG00000164123,C4H4orf45,Non-client,0.0123,0.0137,0.897810219,,0,0.7151984,84.0261
ENSG00000171872,KLF17,Non-client,0.0087,0.0114,0.763157895,1,0,0.5140998,119.011
ENSG00000135625,EGR4,Non-client,0.0031,0.0109,0.28440367,1,0,0.3345935,126.845
ENSG00000151773,CCDC122,Non-client,0.006,0.0134,0.447761194,7,0,0.779176,140.558
ENSG00000204711,C9H9orf135,Non-client,0.0181,0.0218,0.830275229,,0,0.6053418,171.04
ENSG00000140067,FAM181A,Non-client,0.0061,0.0129,0.472868217,,0,0.4544165,294.913
ENSG00000179088,C12H12orf42,Non-client,0.0277,0.0186,1.489247312,,0,0.5492426,373.305
ENSG00000204334,ERICH2,Non-client,0.018,0.0049,3.673469388,3,0,0.5011346,483.863
ENSG00000183644,C11H11orf88,Non-client,0.0098,0.0173,0.566473988,,0,0.5334952,494.698
ENSG00000228727,SAPCD1,Non-client,0,0.0065,0,7,0,0.5262856,506.157
ENSG00000188282,RUFY4,Non-client,0.0098,0.0124,0.790322581,3,0,0.5008555,536.193
ENSG00000256892,MTRNR2L7,Non-client,0.0196,0.0507,0.386587771,,0,0.515118,547.33
ENSG00000150244,LOC451711,Non-client,0.0103,0.0168,0.613095238,,0,0.5238546,562.481
ENSG00000233198,RNF224,Non-client,0.0085,0.009,0.944444444,,0,0.3611883,562.951
ENSG00000204869,IGFL4,Non-client,0.0295,0.071,0.415492958,,0,0.5055021,731.784
ENSG00000167014,TERB2,Non-client,0.0021,0.0115,0.182608696,,0,0.6310739,735.56
ENSG00000149634,SPATA25,Non-client,0.0132,0.0228,0.578947368,,0,0.496476,825.301
ENSG00000120210,INSL6,Non-client,0.0108,0.0059,1.830508475,18,0,0.5916508,910.037
ENSG00000179165,PXT1,Non-client,0.0107,0.0084,1.273809524,,0,0.6811191,999.799
ENSG00000101282,RSPO4,Non-client,0.0116,0.0053,2.188679245,1,0,0.4362427,1015.55
ENSG00000053328,METTL24,Non-client,0.0051,0.0097,0.525773196,,0,0.4530636,1015.98
ENSG00000108702,CCL1,Non-client,0.0089,0.0162,0.549382716,,0,0.500361,1109.47
ENSG00000184560,SPEM2,Non-client,0.0109,0.0207,0.526570048,,0,0.4214953,1383.52
ENSG00000153832,FBXO36,Non-client,0.0026,0.0172,0.151162791,1,0,0.5528106,1399.6
ENSG00000184925,LCN12,Non-client,0.0151,0.0311,0.485530547,,0,0.433202,1443.62
ENSG00000166546,BEAN1,Client,0.0099,0.0303,0.326732673,1,0,0.3783871,1537.53
