proteinID,all_MT,unique_MT
E3VX36,1711,1191
E3VX52,1585,1083
E3VX64,1045,714
E3VX68,1288,896
E3VX70,838,578
E3VX78,6886,4735
G5AJK4,23347,16368
G5AJL2,9370,6378
G5AJL4,1450,993
G5AJL5,1549,1088
G5AJL6,2656,1824
G5AJL7,1720,1197
G5AJL8,2368,1625
G5AJM0,6004,4105
G5AJQ5,4411,3023
G5AJQ6,3196,2192
G5AJQ8,2107,1443
G5AJQ9,2449,1675
G5AJR2,4987,3458
G5AJR4,7120,4909
G5AJR5,12502,8604
G5AJR6,4006,2772
G5AJR8,7147,4922
G5AJR9,8182,5630
G5AJS0,3547,2453
G5AJS3,3106,2124
G5AJS5,5815,3987
G5AJS6,3718,2583
G5AJS7,3196,2200
G5AJS8,3196,2205
G5AJT5,2953,1998
G5AJT6,757,523
G5AJT7,2647,1838
G5AJT8,3592,2464
G5AJT9,4762,3274
G5AJU1,7543,5212
G5AJU2,14797,10217
G5AJU4,3520,2395
G5AJU5,8614,6037
G5AJU6,7444,5096
G5AJU8,6751,4677
G5AJU9,5878,4087
G5AJV1,10135,6953
G5AJV3,15634,10690
G5AJV5,4726,3192
G5AJV7,2611,1815
G5AJV9,2179,1512
G5AJW2,3997,2767
G5AJW5,3169,2162
G5AJW8,6418,4391
G5AJX0,10918,7518
G5AJX4,7057,4845
G5AJX5,4249,2908
G5AJX8,2971,2055
G5AJX9,7066,4817
G5AJY0,11557,7978
G5AJY3,3070,2081
G5AJY4,4105,2815
G5AJY5,4069,2773
G5AJY6,3214,2171
G5AJY7,721,492
G5AJY8,811,558
G5AJY9,4060,2753
G5AJZ2,1666,1120
G5AJZ3,2053,1387
G5AJZ4,2080,1424
G5AJZ5,3043,2111
G5AJZ6,3295,2247
G5AJZ7,5113,3503
G5AJZ8,3745,2569
G5AK00,7426,5104
G5AK01,5698,3856
G5AK02,4456,3056
G5AK07,1846,1292
G5AK08,15625,10776
G5AK09,3151,2162
G5AK10,17758,12367
G5AK11,1549,1063
G5AK15,10522,7198
G5AK34,8362,5624
G5AK36,2926,2031
G5AK37,7840,5371
G5AK38,3736,2554
G5AK39,2467,1700
G5AK40,13942,9530
G5AK41,1234,846
G5AK43,4528,3110
G5AK46,4834,3310
G5AK47,2143,1429
G5AK48,3889,2685
G5AK49,3466,2360
G5AK50,6184,4262
G5AK63,1612,1118
G5AK78,2809,1896
G5AK83,4258,2932
G5AK87,8335,5762
G5AK88,982,687
G5AK89,3151,2190
G5AK90,2476,1724
G5AK96,7282,4954
G5AK99,6103,4172
G5AKA0,4933,3382
G5AKA1,3529,2429
G5AKA4,4942,3430
G5AKA5,10090,6922
G5AKA9,10189,6926
G5AKB0,3457,2368
G5AKB2,2188,1505
G5AKB3,9244,6439
G5AKB4,4834,3370
G5AKB5,1621,1123
G5AKB6,6544,4542
G5AKB8,622,436
G5AKB9,12799,8773
G5AKC0,3097,2100
G5AKC1,1315,910
G5AKC2,3862,2658
G5AKC3,11800,8222
G5AKC4,2701,1888
G5AKC5,8344,5759
G5AKC7,2404,1672
G5AKC8,3250,2253
G5AKD0,23752,16165
G5AKD1,1864,1281
G5AKD3,7426,5151
G5AKD4,9199,6294
G5AKD5,1351,949
G5AKD6,3232,2221
G5AKE0,6967,4841
G5AKE1,2638,1806
G5AKE4,6517,4481
G5AKE5,6022,4162
G5AKF0,2449,1628
G5AKF1,1144,774
G5AKF2,1072,732
G5AKF6,3421,2350
G5AKF9,3628,2507
G5AKG0,5176,3520
G5AKG4,3889,2675
G5AKG5,3223,2235
G5AKG6,3781,2630
G5AKG7,3763,2588
G5AKG8,3466,2357
G5AKG9,2467,1679
G5AKH0,2926,2023
G5AKH2,2557,1776
G5AKH3,9334,6506
G5AKH5,2143,1487
G5AKI5,9523,6395
G5AKI6,3313,2203
G5AKI7,15553,10500
G5AKI9,6229,4177
G5AKJ0,4978,3381
G5AKJ3,3457,2409
G5AKJ4,4501,3056
G5AKJ5,1576,1073
G5AKJ6,8803,5945
G5AKJ7,2917,1977
G5AKJ9,2755,1897
G5AKK0,5860,3978
G5AKK1,6562,4482
G5AKK4,2323,1611
G5AKK6,4168,2814
G5AKK7,3700,2489
G5AKK9,2701,1842
G5AKL0,3700,2479
