Entry	Entry name	Protein names	Gene names	Organism	Length	yourlist:M20201112E5A08BB0B2D1C45B0C7BC3B55FD2655603D8DDF	isomap:M20201112E5A08BB0B2D1C45B0C7BC3B55FD2655603D8DDF
Q3B7T3	BEAN1_HUMAN	Protein BEAN1 (Brain-expressed protein associating with Nedd4 homolog) (BEAN)	BEAN1	Homo sapiens (Human)	259	ENSG00000166546	ENSG00000166546 -> Q3B7T3-1;Q3B7T3-2;Q3B7T3-3
Q8WUU8	TM174_HUMAN	Transmembrane protein 174	TMEM174	Homo sapiens (Human)	243	ENSG00000164325	ENSG00000164325 -> Q8WUU8-1
Q96T55	KCNKG_HUMAN	Potassium channel subfamily K member 16 (2P domain potassium channel Talk-1) (TWIK-related alkaline pH-activated K(+) channel 1) (TALK-1)	KCNK16 TALK1	Homo sapiens (Human)	309	ENSG00000095981	ENSG00000095981 -> Q96T55-1;Q96T55-3;Q96T55-4;Q96T55-5
Q5VZV1	MT21C_HUMAN	Protein-lysine methyltransferase METTL21C (EC 2.1.1.-) (Methyltransferase-like protein 21C)	METTL21C C13orf39	Homo sapiens (Human)	264	ENSG00000139780	
Q17RF5	ODAPH_HUMAN	Odontogenesis associated phosphoprotein	ODAPH C4orf26	Homo sapiens (Human)	130	ENSG00000174792	ENSG00000174792 -> Q17RF5-1;Q17RF5-2
Q9GZX7	AICDA_HUMAN	Single-stranded DNA cytosine deaminase (EC 3.5.4.38) (Activation-induced cytidine deaminase) (AID) (Cytidine aminohydrolase)	AICDA AID	Homo sapiens (Human)	198	ENSG00000111732	ENSG00000111732 -> Q9GZX7-1;Q9GZX7-2
O15146	MUSK_HUMAN	Muscle, skeletal receptor tyrosine-protein kinase (EC 2.7.10.1) (Muscle-specific tyrosine-protein kinase receptor) (MuSK) (Muscle-specific kinase receptor)	MUSK	Homo sapiens (Human)	869	ENSG00000030304	ENSG00000030304 -> O15146-1;O15146-2
O43918	AIRE_HUMAN	Autoimmune regulator (Autoimmune polyendocrinopathy candidiasis ectodermal dystrophy protein) (APECED protein)	AIRE APECED	Homo sapiens (Human)	545	ENSG00000160224	ENSG00000160224 -> O43918-1
Q2M1V0	ISX_HUMAN	Intestine-specific homeobox (RAX-like homeobox)	ISX RAXLX	Homo sapiens (Human)	245	ENSG00000175329	
A2VCK2	DCD2B_HUMAN	Doublecortin domain-containing protein 2B	DCDC2B	Homo sapiens (Human)	349	ENSG00000222046	
Q8WWF5	ZNRF4_HUMAN	E3 ubiquitin-protein ligase ZNRF4 (EC 2.3.2.27) (Nixin) (RING finger protein 204) (RING-type E3 ubiquitin transferase ZNRF4) (Zinc/RING finger protein 4)	ZNRF4 RNF204	Homo sapiens (Human)	429	ENSG00000105428	
Q5VTA0	PRA17_HUMAN	PRAME family member 17	PRAMEF17	Homo sapiens (Human)	474	ENSG00000204479	
Q86YJ5	MARH9_HUMAN	E3 ubiquitin-protein ligase MARCHF9 (EC 2.3.2.27) (Membrane-associated RING finger protein 9) (Membrane-associated RING-CH protein IX) (MARCH-IX) (RING finger protein 179) (RING-type E3 ubiquitin transferase MARCHF9)	MARCHF9 MARCH9 RNF179	Homo sapiens (Human)	346	ENSG00000139266	ENSG00000139266 -> Q86YJ5-1;Q86YJ5-2
Q96PH1	NOX5_HUMAN	NADPH oxidase 5 (EC 1.6.3.-)	NOX5	Homo sapiens (Human)	765	ENSG00000255346	ENSG00000255346 -> Q96PH1-1;Q96PH1-2;Q96PH1-3;Q96PH1-4;Q96PH1-6
P15918	RAG1_HUMAN	V(D)J recombination-activating protein 1 (RAG-1) (RING finger protein 74) [Includes: Endonuclease RAG1 (EC 3.1.-.-); E3 ubiquitin-protein ligase RAG1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RAG1)]	RAG1 RNF74	Homo sapiens (Human)	1043	ENSG00000166349	ENSG00000166349 -> P15918-1;P15918-2
Q9NY57	ST32B_HUMAN	Serine/threonine-protein kinase 32B (EC 2.7.11.1) (Yet another novel kinase 2)	STK32B YANK2 UNQ3003/PRO9744	Homo sapiens (Human)	414	ENSG00000152953	ENSG00000152953 -> Q9NY57-1;Q9NY57-2
Q6VVB1	NHLC1_HUMAN	E3 ubiquitin-protein ligase NHLRC1 (EC 2.3.2.27) (Malin) (NHL repeat-containing protein 1) (RING-type E3 ubiquitin transferase NHLRC1)	NHLRC1 EPM2B	Homo sapiens (Human)	395	ENSG00000187566	
Q9P2T0	THEG_HUMAN	Testicular haploid expressed gene protein (Cancer/testis antigen 56) (CT56)	THEG	Homo sapiens (Human)	379	ENSG00000105549	ENSG00000105549 -> Q9P2T0-1;Q9P2T0-2
P59047	NALP5_HUMAN	NACHT, LRR and PYD domains-containing protein 5 (Mater protein homolog)	NLRP5 MATER NALP5	Homo sapiens (Human)	1200	ENSG00000171487	
Q96Q27	ASB2_HUMAN	Ankyrin repeat and SOCS box protein 2 (ASB-2)	ASB2	Homo sapiens (Human)	587	ENSG00000100628	ENSG00000100628 -> Q96Q27-1;Q96Q27-2
Q8N3K9	CMYA5_HUMAN	Cardiomyopathy-associated protein 5 (Dystrobrevin-binding protein 2) (Genethonin-3) (Myospryn) (SPRY domain-containing protein 2) (Tripartite motif-containing protein 76)	CMYA5 C5orf10 DTNBP2 SPRYD2 TRIM76	Homo sapiens (Human)	4069	ENSG00000164309	
O43173	SIA8C_HUMAN	Sia-alpha-2,3-Gal-beta-1,4-GlcNAc-R:alpha 2,8-sialyltransferase (EC 2.4.99.-) (Alpha-2,8-sialyltransferase 8C) (Alpha-2,8-sialyltransferase III) (ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3) (Sialyltransferase 8C) (SIAT8-C) (Sialyltransferase St8Sia III) (ST8SiaIII)	ST8SIA3 SIAT8C	Homo sapiens (Human)	380	ENSG00000177511	
Q6JEL2	KLH10_HUMAN	Kelch-like protein 10	KLHL10	Homo sapiens (Human)	608	ENSG00000161594	
Q7Z769	S35E3_HUMAN	Solute carrier family 35 member E3 (Bladder cancer-overexpressed gene 1 protein)	SLC35E3 BLOV1 UNQ3043/PRO9859	Homo sapiens (Human)	313	ENSG00000175782	
O60706	ABCC9_HUMAN	ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2)	ABCC9 SUR2	Homo sapiens (Human)	1549	ENSG00000069431	ENSG00000069431 -> O60706-1;O60706-2
Q8N5S1	S2541_HUMAN	Solute carrier family 25 member 41	SLC25A41	Homo sapiens (Human)	370	ENSG00000181240	ENSG00000181240 -> Q8N5S1-1;Q8N5S1-2
P40200	TACT_HUMAN	T-cell surface protein tactile (Cell surface antigen CD96) (T cell-activated increased late expression protein) (CD antigen CD96)	CD96	Homo sapiens (Human)	585	ENSG00000153283	ENSG00000153283 -> P40200-1;P40200-2
Q6ZRF8	RN207_HUMAN	RING finger protein 207	RNF207 C1orf188	Homo sapiens (Human)	634	ENSG00000158286	ENSG00000158286 -> Q6ZRF8-1
Q96IK5	GMCL1_HUMAN	Germ cell-less protein-like 1 (Spermatogenesis-associated protein 29)	GMCL1 BTBD13 GCL SPATA29	Homo sapiens (Human)	515	ENSG00000087338	
