proteinID,all_MT,unique_MT
E3VX36,1711,1191
E3VX64,1045,714
G5AJR9,8182,5630
G5AJS0,3547,2453
G5AJS7,3196,2200
G5AJX9,7066,4817
G5AJY0,11557,7978
G5AJZ7,5113,3503
G5AJZ8,3745,2569
G5AK00,7426,5104
G5AK39,2467,1700
G5AK41,1234,846
G5AK43,4528,3110
G5AKB9,12799,8773
G5AKD4,9199,6294
G5AKF1,1144,774
G5AKF6,3421,2350
G5AKI7,15553,10500
G5AKJ0,4978,3381
G5AKJ3,3457,2409
G5AKJ4,4501,3056
G5AKJ6,8803,5945
G5AKK1,6562,4482
G5AKL6,4186,2858
G5AKL9,6004,4044
G5AKQ5,4474,3043
G5AKR4,3376,2334
G5AKT0,8533,5891
G5AKT2,3664,2502
G5AKU7,4699,3210
G5AKY0,8200,5720
G5AKY5,10630,7273
G5AKZ4,5851,4012
G5AL19,3781,2615
G5AL32,5563,3826
G5AL67,3817,2598
G5AL83,3133,2164
G5AL84,7480,5211
G5AL97,5464,3762
G5AL99,2467,1688
G5ALE8,2521,1704
G5ALM3,8551,5882
G5ALN6,2359,1605
G5ALN8,2503,1736
G5ALP8,3871,2620
G5ALQ2,2278,1580
G5ALU6,4213,2881
G5ALV9,11809,7987
G5ALW2,3520,2382
G5AM04,2809,1923
G5AM17,2044,1408
G5AM69,5158,3570
G5AM95,2557,1735
G5AMA1,3250,2218
G5AMA2,3511,2410
G5AMA4,4861,3354
G5AMB7,2575,1781
G5AMC2,2260,1547
G5AME6,1108,776
G5AMF8,4501,3064
G5AMF9,2215,1504
G5AMH0,1684,1161
G5AMJ3,1603,1137
G5AML8,5266,3568
G5AMR7,4672,3225
G5AMS6,10864,7356
G5AMT0,2701,1858
G5AMT2,3925,2644
G5AMU2,3376,2280
G5AMV9,5050,3483
G5AN14,3394,2324
G5AN15,6508,4447
G5AN29,5383,3651
G5AN41,5833,4032
G5AN42,5581,3835
G5AN44,2467,1683
G5AN52,1954,1353
G5AN62,5707,3904
G5AN82,3547,2443
G5AN84,8749,6037
G5AN90,6391,4449
G5AN98,6130,4188
G5ANA5,2350,1617
G5ANB5,7336,5131
G5ANE2,9028,6254
G5ANE3,9865,6827
G5ANF9,6742,4607
G5ANG3,3817,2651
G5ANP7,1837,1236
G5ANV7,2611,1779
G5ANX5,4438,3084
G5AP09,10297,7003
G5AP57,2026,1398
G5AP59,5959,4102
G5AP63,2521,1723
G5AP74,3331,2277
G5AP90,3943,2665
G5APB6,3061,2086
G5APE7,3538,2461
G5APF0,4942,3408
G5APG1,6265,4265
G5APH5,13564,9173
G5APH9,3214,2194
G5APJ1,4555,3167
G5APK2,5716,3893
G5APP0,7318,5068
G5APQ4,5194,3509
G5APR4,1891,1281
G5APR5,2701,1877
G5APS8,5869,4046
G5APV2,7147,4953
G5APV7,7966,5464
G5APV9,10909,7506
G5APW5,5950,4127
G5APW6,2260,1567
G5APX4,5779,3924
G5APY4,2143,1479
G5APZ6,3772,2614
G5AQ16,8956,6153
G5AQ47,6760,4554
G5AQ66,8983,6148
G5AQ81,4492,3114
G5AQ85,2467,1693
G5AQA6,2224,1532
G5AQB0,2188,1509
G5AQC7,4789,3316
G5AQD7,2521,1742
G5AQF7,2548,1720
G5AQG1,4510,3081
G5AQG4,10270,6943
G5AQI1,6634,4529
G5AQI3,2431,1687
G5AQK1,3025,2088
G5AQM8,3115,2148
G5AQN1,3016,2097
G5AQP5,5347,3668
G5AQQ9,3862,2701
G5AQR1,6202,4203
G5AQT1,13609,9392
G5AQT8,2098,1436
G5AQX0,9163,6307
G5AR38,7129,4947
G5AR54,1801,1220
G5AR88,14491,9893
G5AR98,2710,1841
G5ARA5,5923,3992
G5ARB9,12016,8212
G5ARC8,12592,8669
G5ARC9,1612,1136
G5ARD0,1468,1005
G5ARD7,6094,4159
G5ARD8,10036,6989
G5ARE5,4609,3159
G5ARF9,1207,822
G5ARJ7,6571,4530
G5ARK0,5221,3620
G5ARL4,3889,2674
G5ARQ8,1864,1288
G5ARR2,8542,5857
G5ARS5,10207,6997
G5ARU6,3313,2237
G5ARU7,7345,5000
G5ARV5,6526,4502
G5ARW6,9685,6607
G5ARY9,2872,1979
G5AS19,4141,2873
G5AS29,3124,2175
G5AS37,4537,3142
G5AS45,6463,4446
G5AS55,5347,3634
G5AS59,4771,3319
G5AS76,2197,1500
G5AS77,3772,2592
G5AS92,5608,3870
G5AS94,3529,2427
G5ASA4,2206,1503
G5ASA9,6400,4421
G5ASB4,7291,5051
G5ASB8,2764,1898
G5ASC1,3340,2271
G5ASC9,15742,10724
G5ASE3,4726,3152
G5ASE4,22348,15573
G5ASG2,4807,3302
G5ASG3,1486,1008
G5ASG7,1909,1331
G5ASH7,4051,2782
G5ASJ6,5743,3942
G5ASK0,2377,1607
G5ASK5,2539,1727
G5ASK7,2053,1422
G5ASP5,2944,2039
G5ASP8,10441,7375
G5ASQ1,6364,4425
G5ASR1,4456,3066
G5ASR3,8344,5649
G5ASV2,6823,4705
G5ASV5,8254,5718
G5AT15,4762,3228
G5AT18,3664,2557
G5AT27,1297,899
G5AT30,2647,1859
G5AT37,2917,2007
G5AT56,19747,13192
G5AT57,1423,979
G5AT60,9856,6703
G5AT72,4600,3165
G5AT76,7822,5410
G5AT83,3178,2209
G5ATA7,9307,6329
G5ATD9,3637,2475
G5ATE4,8830,6104
G5ATE6,2035,1415
G5ATI7,6967,4761
G5ATJ9,4096,2813
G5ATL4,6256,4302
G5ATN7,5842,4016
G5ATQ6,2458,1657
G5ATT6,6823,4620
G5ATU1,8758,5973
G5ATU4,1531,1076
G5ATX6,5392,3648
G5ATX8,4087,2814
G5ATX9,4609,3143
G5ATY5,2287,1543
G5ATY8,1522,1024
G5ATZ0,4546,3156
G5AU59,2242,1541
G5AU60,3196,2240
G5AU77,12115,8294
G5AU96,4204,2867
G5AU97,3853,2663
G5AUG8,2413,1636
G5AUI7,1684,1147
G5AUJ0,3592,2483
G5AUL0,3304,2277
G5AUM7,5608,3865
G5AUN0,3322,2295
G5AUN9,5095,3499
G5AUQ4,3430,2392
G5AUR8,6706,4588
G5AUT0,6103,4213
G5AUT4,11260,7595
G5AUU5,3169,2172
G5AUU6,5761,3887
G5AUV1,8830,6094
G5AUX9,5689,3840
G5AUY4,3853,2598
G5AUZ0,5923,4002
G5AUZ1,4501,3142
G5AUZ8,6877,4688
G5AV06,3124,2146
G5AV15,2665,1871
G5AV18,4897,3346
G5AV30,6922,4735
G5AV36,4573,3161
G5AV50,4276,2885
G5AV51,7858,5442
G5AV71,3340,2280
G5AV82,1549,1060
G5AVB2,7786,5345
G5AVC7,8344,5734
G5AVD9,1792,1214
G5AVF5,1603,1132
G5AVF6,6562,4418
G5AVH7,4132,2796
G5AVL3,4042,2794
G5AVL7,4330,2946
G5AVR1,2701,1842
G5AVV9,6778,4701
G5AVW0,4699,3180
G5AVX4,3664,2560
G5AW12,3619,2485
G5AW36,3511,2402
G5AW38,5032,3513
G5AW57,3880,2668
G5AW60,2566,1765
G5AW64,2350,1619
G5AW70,1108,745
G5AW75,4915,3390
G5AWB7,33445,23067
G5AWD3,6238,4329
G5AWE4,5014,3428
G5AWE7,10612,7164
G5AWE8,4915,3342
G5AWF1,2899,1993
G5AWF4,4915,3273
G5AWI0,11674,7995
G5AWL9,5338,3604
G5AWT0,3790,2590
G5AWT9,6706,4536
G5AWV7,40375,28247
G5AWW7,2062,1414
G5AWW8,7030,4829
G5AWZ4,4402,3048
G5AWZ8,8326,5758
G5AX26,5500,3745
G5AX31,4438,3063
G5AX45,14788,10022
G5AX61,1792,1258
G5AX62,3862,2645
G5AX86,7165,4937
G5AXA5,5842,3963
G5AXC0,7462,5081
G5AXC5,6661,4494
G5AXD2,2863,1967
G5AXE1,8263,5648
G5AXF0,2341,1627
G5AXG2,13915,9522
G5AXH4,5221,3617
G5AXI9,5590,3842
G5AXN0,3673,2504
G5AXR9,2386,1633
G5AXS9,4546,3089
G5AXT2,1612,1106
G5AXT6,3196,2128
G5AXV0,4213,2932
G5AXV6,2737,1892
G5AXV7,3547,2467
G5AXW7,4384,2964
G5AXX9,10189,6938
G5AXY0,3340,2326
G5AY05,13348,9125
G5AY29,32995,22628
G5AY63,7237,5020
G5AY87,12646,8725
G5AY90,5239,3570
G5AY93,3961,2692
G5AYD4,6778,4702
G5AYE3,5122,3467
G5AYG0,1441,984
G5AYG7,7984,5406
G5AYG9,730,500
G5AYH2,4375,2988
G5AYH8,8272,5609
G5AYI4,2575,1755
G5AYI8,5464,3763
G5AYI9,1522,1043
G5AYJ0,4645,3130
G5AYJ1,3286,2210
G5AYL4,6571,4484
G5AYL9,5266,3607
G5AYM2,16021,10946
G5AYN1,12061,8247
G5AYS1,1153,802
G5AYS6,7264,4925
G5AYT2,5860,4016
G5AYV1,4456,3038
G5AYW4,4366,3012
G5AYX9,8938,6140
G5AYZ4,8344,5726
G5AZ06,2062,1435
G5AZ24,3241,2227
G5AZ39,910,629
G5AZ55,23797,16393
G5AZA7,10567,7312
G5AZA9,1414,994
G5AZG5,748,510
G5AZH2,8947,6162
G5AZH7,43507,29605
G5AZI2,4186,2887
G5AZJ5,4186,2863
G5AZK4,1504,1015
G5AZL7,3367,2297
G5AZN8,5653,3871
G5AZP2,3169,2130
G5AZT0,8002,5404
G5AZX0,5158,3566
G5AZZ0,3970,2734
G5AZZ5,7741,5336
G5B044,10072,7026
G5B0A5,1207,830
G5B0C3,5464,3734
G5B0E8,3574,2448
G5B0J1,2125,1477
G5B0J5,5086,3413
G5B0J9,6985,4807
G5B0L3,4564,3137
G5B0L4,10297,7029
G5B0L6,3178,2210
G5B0N4,3754,2581
G5B0R9,4249,2943
G5B0T6,5203,3592
G5B0Y0,4312,2976
G5B0Y7,4942,3462
G5B0Z5,14473,10164
G5B118,2026,1390
G5B131,9406,6531
G5B132,4897,3414
G5B140,6778,4645
G5B156,5239,3563
G5B192,3070,2032
G5B1B4,4321,2983
G5B1B6,7516,5212
G5B1C2,14050,9667
G5B1E2,1801,1243
G5B1G7,6364,4368
G5B1K2,24589,16393
G5B1K8,26875,18419
G5B1M1,4123,2823
G5B1S2,3241,2184
G5B1S6,15859,11016
G5B1S9,7588,5245
G5B1W9,11134,7713
G5B1X1,5383,3716
G5B1Y3,8812,6059
G5B211,3610,2491
G5B212,21520,14866
G5B233,2674,1797
G5B242,3016,2075
G5B244,1423,978
G5B278,5806,3900
G5B281,4051,2753
G5B294,2350,1634
G5B296,2044,1417
G5B2A0,5770,3907
G5B2B2,5176,3537
G5B2D7,7642,5250
G5B2F8,3673,2519
G5B2I1,6526,4365
G5B2M6,4186,2834
G5B2P2,7732,5387
G5B2Q8,5527,3758
G5B2V9,6076,4190
G5B2W2,3268,2257
G5B2Z9,2080,1409
G5B308,5707,3885
G5B314,3547,2454
G5B315,11026,7525
G5B318,5059,3480
G5B334,3223,2190
G5B335,1081,749
G5B336,4618,3213
G5B357,3484,2372
G5B383,8992,6176
G5B399,1747,1209
G5B3C5,6481,4414
G5B3I2,3493,2403
G5B3J1,3880,2693
G5B3N9,3016,2081
G5B3Q6,14725,10080
G5B3S0,2512,1689
G5B3S5,7876,5419
G5B3U7,2530,1739
G5B3Y0,7597,5234
G5B438,6211,4373
G5B439,7597,5252
G5B475,2521,1761
G5B4C7,2539,1725
G5B4G7,802,546
G5B4H4,2161,1492
G5B4I1,2638,1795
G5B4M8,2971,2052
G5B4M9,4078,2803
G5B4T5,1963,1319
G5B4T7,10441,7200
G5B4V3,5806,3986
G5B4W9,3322,2287
G5B4Y9,4402,2990
G5B4Z1,4627,3172
G5B4Z4,2944,1999
G5B558,3358,2318
G5B560,9856,6721
G5B573,6463,4419
G5B589,6427,4434
G5B591,3916,2682
G5B595,11944,8360
G5B5A3,6634,4484
G5B5B1,1468,1015
G5B5B5,5302,3567
G5B5C8,3601,2484
G5B5D6,3529,2402
G5B5F1,7642,5197
G5B5F5,3070,2116
G5B5F6,9388,6339
G5B5H0,5518,3804
G5B5J9,4321,2978
G5B5L4,4906,3370
G5B5L8,2422,1664
G5B5N0,5113,3551
G5B5P2,5356,3735
G5B5S3,3637,2544
G5B5U0,3754,2613
G5B5V4,5662,3923
G5B5V6,14122,9660
G5B5W3,8857,6063
G5B5Z8,2377,1641
G5B625,10441,7163
G5B679,2089,1445
G5B687,3322,2258
G5B688,3907,2680
G5B6A9,22501,15608
G5B6B6,1612,1084
G5B6C6,6580,4526
G5B6F6,4897,3446
G5B6F8,2449,1709
G5B6H0,3052,2095
G5B6I5,15544,10711
G5B6J0,1549,1077
G5B6J4,4951,3409
G5B6J9,7642,5144
G5B6K4,1801,1232
G5B6K5,11251,7809
G5B6L7,3457,2306
G5B6M2,2143,1458
G5B6N4,18271,12332
G5B6N8,7120,4838
G5B6U0,7948,5554
G5B6U5,9613,6581
G5B6X7,2719,1889
G5B707,2665,1842
G5B718,8452,5702
G5B749,2197,1492
G5B754,4375,2977
G5B768,5293,3586
G5B794,7057,4793
G5B7A3,9460,6569
G5B7H2,2143,1487
G5B7I0,991,674
G5B7R3,2224,1504
G5B7R9,2782,1944
G5B7W2,4663,3172
G5B7X6,28720,19986
G5B7Y9,3619,2513
G5B7Z0,9523,6556
G5B7Z7,9010,6219
G5B806,5275,3571
G5B816,6274,4293
G5B823,6634,4482
G5B845,4123,2804
G5B847,4429,3030
G5B852,4078,2782
G5B862,2980,2067
G5B8C1,12583,8836
G5B8E5,7786,5344
G5B8H0,2764,1886
G5B8I3,7183,4966
G5B8J3,1234,852
G5B8L1,1684,1152
G5B8M0,2359,1595
G5B8N8,2620,1791
G5B8P3,1387,966
G5B8Q2,3745,2546
G5B8Q8,3745,2467
G5B8R3,4573,3106
G5B8U7,3952,2751
G5B909,1189,837
G5B927,25894,17815
G5B948,13564,9409
G5B950,5428,3746
G5B957,3763,2576
G5B965,2764,1888
G5B988,4429,3074
G5B9C2,7093,4946
G5B9F4,1666,1155
G5B9M7,2386,1625
G5B9M9,3556,2436
G5B9N3,15841,10953
G5B9P0,3718,2510
G5B9P1,9487,6507
G5B9Q2,3565,2429
G5B9Q7,6031,4104
G5B9Q8,2971,1992
G5B9R3,6697,4583
G5B9T0,9010,6195
G5B9U3,4564,3108
G5B9V0,5491,3768
G5B9W7,4078,2786
G5BA04,21268,14697
G5BA07,7768,5354
G5BA14,3223,2217
G5BA26,4204,2851
G5BA33,1306,907
G5BA40,5383,3721
G5BA73,4366,3023
G5BA88,2377,1643
G5BA94,10090,6920
G5BA99,12907,8832
G5BAG3,4177,2862
G5BAH3,3592,2442
G5BAK4,802,566
G5BAN6,10198,7044
G5BAQ4,2251,1533
G5BAQ6,1216,841
G5BAT7,4159,2853
G5BAY5,2359,1589
G5BAZ3,5545,3760
G5BB09,2053,1388
G5BB44,6589,4516
G5BB45,5806,3879
G5BB51,9055,6231
G5BB66,1441,1018
G5BB67,4771,3245
G5BB74,7237,4978
G5BBA3,1693,1169
G5BBC3,3475,2375
G5BBD6,3853,2614
G5BBG7,3889,2713
G5BBG9,8596,5930
G5BBH4,9676,6708
G5BBJ9,3916,2701
G5BBM1,2764,1886
G5BBQ3,5077,3414
G5BBQ4,1153,785
G5BBQ5,4078,2810
G5BBS9,2656,1822
G5BC01,5311,3614
G5BC44,1657,1155
G5BC53,7462,5179
G5BC68,3583,2432
G5BC79,7363,5086
G5BCA2,6445,4444
G5BCB1,811,560
G5BCB7,2674,1807
G5BCD2,5608,3861
G5BCD3,3889,2675
G5BCD5,3430,2348
G5BCJ5,5473,3686
G5BCK7,2179,1523
G5BCM2,5464,3814
G5BCR0,1936,1307
G5BCR3,5662,3905
G5BCU8,4636,3194
G5BCV3,21025,14569
G5BCW0,9577,6557
G5BCZ8,4825,3310
G5BD00,8047,5503
G5BD17,9514,6466
G5BD35,5284,3602
G5BD59,8200,5739
G5BD70,4771,3293
G5BDC6,9892,6697
G5BDC7,2539,1718
G5BDE0,4339,2947
G5BDF3,8614,5942
G5BDF8,4510,3114
G5BDG4,3367,2279
G5BDH5,7471,5079
G5BDI0,8614,5892
G5BDI6,1954,1327
G5BDI9,4915,3369
G5BDJ4,3889,2666
G5BDJ6,6706,4574
G5BDJ8,3088,2129
G5BDK7,12520,8599
G5BDS0,2440,1628
G5BDS3,16318,11026
G5BDT4,6157,4272
G5BDV3,5464,3763
G5BDX0,3655,2480
G5BDX2,2242,1557
G5BDY1,7777,5353
G5BDZ6,2161,1472
G5BE23,3205,2216
G5BE31,9613,6690
G5BE89,3124,2135
G5BE97,2701,1852
G5BE98,3610,2493
G5BEA6,1810,1231
G5BEB1,2449,1680
G5BEB8,2737,1843
G5BEC1,6013,4164
G5BED0,3628,2488
G5BED3,8110,5551
G5BEE1,4897,3323
G5BEG2,3016,2072
G5BEI3,1009,700
G5BEI5,5095,3475
G5BEK1,2215,1543
G5BEM6,4060,2770
G5BEQ2,3709,2519
G5BER3,2251,1483
G5BER4,1234,836
G5BER8,3817,2562
G5BET5,6616,4564
G5BEU9,1234,829
G5BEW0,4627,3111
G5BEW2,3250,2251
G5BEW3,6400,4439
G5BEX1,2395,1648
G5BEZ3,12763,8652
G5BF22,11017,7391
G5BF24,2881,1989
G5BF27,1747,1192
G5BF35,2890,1975
G5BF36,5653,3907
G5BF53,1801,1229
G5BF61,3484,2375
G5BF71,3223,2175
G5BF73,4231,2928
G5BFB5,3592,2471
G5BFE2,5320,3657
G5BFH6,7957,5496
G5BFH7,4753,3262
G5BFK7,2026,1394
G5BFL6,3061,2138
G5BFL9,2854,1983
G5BFZ3,5140,3490
G5BG14,4375,2950
G5BG31,6832,4694
