proteinID_x	organism_x	description_x	valid_cds_x	proteinID_y	organism_y	description_y	valid_cds_y
E3VX36	HG	standard	True	P51910	MM	standard	True
E3VX52	HG	standard	True	P23927	MM	standard	True
E3VX64	HG	standard	True	P34884	MM	standard	True
E3VX68	HG	standard	True	Q9D7M8	MM	standard	True
E3VX70	HG	standard	True	P61514	MM	standard	True
G5AJK4	HG	standard	True	Q61555	MM	standard	True
G5AJL2	HG	standard	True	Q3UHC7	MM	standard	True
G5AJL4	HG	standard	True	Q9DCJ5	MM	standard	True
G5AJL5	HG	standard	True	Q9DAI9	MM	standard	True
G5AJL6	HG	standard	True	Q9R1R0	MM	standard	True
G5AJL7	HG	standard	True	Q9CR83	MM	standard	True
G5AJL8	HG	standard	True	Q9D6S7	MM	standard	True
G5AJM0	HG	standard	True	P22437	MM	standard	True
G5AJQ5	HG	standard	True	Q8CDJ3	MM	standard	True
G5AJQ6	HG	standard	True	Q6SJ95	MM	standard	True
G5AJQ8	HG	standard	True	Q8BJ73	MM	standard	True
G5AJQ9	HG	standard	True	Q8BHL8	MM	standard	True
G5AJR2	HG	standard	True	A2AU37	MM	standard	True
G5AJR5	HG	standard	True	Q5HZJ0	MM	standard	True
G5AJR6	HG	standard	True	Q8BGC1	MM	standard	True
G5AJR8	HG	standard	True	Q9Z2G6	MM	standard	True
G5AJR9	HG	standard	True	Q8BZ60	MM	standard	True
G5AJS0	HG	standard	True	Q99PM3	MM	standard	True
G5AJS3	HG	standard	True	Q60900	MM	standard	True
G5AJS5	HG	standard	True	O88485	MM	standard	True
G5AJS6	HG	standard	True	O70571	MM	standard	True
G5AJS7	HG	standard	True	Q62086	MM	standard	True
G5AJS8	HG	standard	True	Q62087	MM	standard	True
G5AJT5	HG	standard	True	Q05117	MM	standard	True
G5AJT6	HG	standard	True	P60003	MM	standard	True
G5AJT7	HG	standard	True	Q08091	MM	standard	True
G5AJT8	HG	standard	True	Q9QZH6	MM	standard	True
G5AJT9	HG	standard	True	Q6YND2	MM	standard	True
G5AJU1	HG	standard	True	Q8VI84	MM	standard	True
G5AJU2	HG	standard	True	Q8K4S1	MM	standard	True
G5AJU4	HG	standard	True	Q7TPD2	MM	standard	True
