proteinID_x,proteinID_y,%_identity,%_similarity,%_gaps,software
G5B0U1,A2ASS6,84.7,88.6,7.9,matcher
G5C0E1,Q6ZWR6,82.7,90.2,1.5,matcher
G5BZM0,A2AN08,96.4,98.0,0.4,matcher
G5BP43,A2AAE1,95.2,97.0,0.8,matcher
G5B601,E9Q1W3,87.2,90.5,7.7,matcher
G5APN1,E9Q401,93.5,95.1,3.8,matcher
G5AMB3,E9PZQ0,93.9,95.5,2.4,matcher
G5BEE3,Q91ZX7,97.1,98.0,0.2,matcher
G5AZH7,Q4U2R1,94.2,96.9,0.1,matcher
G5C8Z7,A2ANY6,82.0,89.6,0.9,matcher
G5B5V9,Q2PZL6,90.6,95.0,0.6,matcher
G5BGS3,A2AGL3,89.2,91.8,4.9,matcher
G5B3Y1,O88738,93.8,96.3,1.1,matcher
G5BCZ7,Q6ZWQ0,67.6,79.2,3.6,matcher
G5AWV7,Q9JI18,90.2,95.2,0.2,matcher
G5C9Y4,Q7TMY8,97.0,98.0,0.6,matcher
G5AMY9,Q9JLC8,90.8,94.4,2.5,matcher
G5C996,A2AAJ9,64.8,74.9,8.8,matcher
G5AKV4,E9Q2E4,92.4,94.0,4.6,matcher
G5ARQ9,A0A1L1SQU7,87.8,94.1,1.2,matcher
G5C9V6,Q8VHE6,88.5,94.2,0.3,matcher
G5C4Z8,B1ART2,92.6,96.0,0.3,matcher
G5B5D9,P0C6F1,91.5,95.6,0.2,matcher
G5AVF2,Q69Z23,89.4,94.6,0.2,matcher
G5C8Q7,A2ARV4,78.8,88.6,1.2,matcher
G5BUD1,Q45VK7,91.4,96.3,0.4,matcher
G5AMU8,Q8BRH4,78.8,84.1,7.3,matcher
G5B2C3,B1AR51,87.6,93.9,0.0,matcher
G5C1Q4,Q80W93,76.2,87.6,1.0,matcher
G5B5L3,V9GX34,95.0,97.4,0.6,matcher
G5AY29,Q8BKX6,96.9,98.5,0.2,matcher
G5BV95,Q8BW94,85.8,92.4,0.2,matcher
G5APK6,L7N1Y0,86.5,93.3,0.1,matcher
G5BN21,Q5F226,80.0,88.4,0.3,matcher
G5C321,Q80T14,83.5,91.0,0.4,matcher
G5BI47,Q60841,94.6,97.9,0.1,matcher
G5AVW7,E9PZP8,96.5,97.9,0.3,matcher
G5AT03,Q6VNB8,95.4,97.4,0.6,matcher
G5BY46,O08852,80.6,87.2,0.6,matcher
G5BZW7,O88737,85.5,88.7,1.6,matcher
G5AZT2,Q61329,88.2,89.7,6.6,matcher
G5B864,P11531,90.1,94.2,0.8,matcher
G5BHS5,P97313,80.4,89.4,0.6,matcher
G5BHL8,P55200,85.4,88.6,6.1,matcher
G5C6C4,D3YXG0,82.5,89.3,3.8,matcher
G5AWB7,Q8BX70,85.4,92.8,0.2,matcher
G5AL23,Q8BLN6,95.6,97.2,0.5,matcher
G5AUB0,Q923L3,90.2,94.9,0.2,matcher
G5BUL8,E9Q8T7,72.4,77.7,17.1,matcher
