clusterNumber	bestScore_x	Organism_x	Score_x	proteinID_x	Bootstrap_x	bestScore_y	Organism_y	Score_y	proteinID_y	Bootstrap_y
1	44490	H.sapiens	1.0	Q8WZ42	100%	44490	M.musculus	1.0	A2ASS6	100%
2	14706	H.sapiens	1.0	Q8NF91	100%	14706	M.musculus	1.0	Q6ZWR6	100%
3	11947	H.sapiens	1.0	Q9UPN3	100%	11947	M.musculus	1.0	Q9QXZ0	100%
4	10236	H.sapiens	1.0	Q96RW7	100%	10236	M.musculus	1.0	D3YXG0	100%
5	10131	H.sapiens	1.0	Q8WXG9	100%	10131	M.musculus	1.0	Q8VHN7	100%
6	10060	H.sapiens	1.0	P20929	100%	10060	M.musculus	1.0	E9Q1W3	100%
7	9975	H.sapiens	1.0	Q5T4S7	100%	9975	M.musculus	1.0	A2AN08	100%
8	9917	H.sapiens	1.0	O14686	100%	9917	M.musculus	1.0	Q6PDK2	100%
9	9783	H.sapiens	1.0	Q2LD37	100%	9783	M.musculus	1.0	A2AAE1	100%
10	9770	H.sapiens	1.0	Q92736	100%	9770	M.musculus	1.0	E9Q401	100%
11	9752	H.sapiens	1.0	P21817	100%	9752	M.musculus	1.0	E9PZQ0	100%
12	9675	H.sapiens	1.0	Q07954	100%	9675	M.musculus	1.0	Q91ZX7	100%
13	9534	H.sapiens	1.0	Q15751	100%	9534	M.musculus	1.0	E9PZP8	100%
14	9458	H.sapiens	1.0	Q15413	100%	9458	M.musculus	1.0	A2AGL3	100%
15	9399	H.sapiens	1.0	Q8WXH0	100%	9399	M.musculus	1.0	Q6ZWQ0	100%
16	9316	H.sapiens	1.0	O95714	100%	9316	M.musculus	1.0	Q4U2R1	100%
17	9291	H.sapiens	1.0	Q9NZR2	100%	9291	M.musculus	1.0	Q9JI18	100%
18	9254	H.sapiens	1.0	Q9NU22	100%	9254	M.musculus	1.0	A2ANY6	100%
19	9214	H.sapiens	1.0	Q9NR09	100%	9214	M.musculus	1.0	O88738	100%
20	9210	H.sapiens	1.0	Q6V0I7	100%	9210	M.musculus	1.0	Q2PZL6	100%
21	9152	H.sapiens	1.0	Q14204	100%	9152	M.musculus	1.0	Q9JHU4	100%
22	9112	H.sapiens	1.0	O75592	100%	9112	M.musculus	1.0	Q7TPH6	100%
23	8737	H.sapiens	1.0	Q5VST9	100%	8737	M.musculus	1.0	A2AAJ9	100%
24	8726	H.sapiens	1.0	Q03001	100%	8726	M.musculus	1.0	Q91ZU6	100%
25	8702	H.sapiens	1.0	Q9NZJ4	100%	8702	M.musculus	1.0	Q9JLC8	100%
26	8578	H.sapiens	1.0	Q8NEZ4	100%	8578	M.musculus	1.0	Q8BRH4	100%
27	8501	H.sapiens	1.0	Q8TDW7	100%	8501	M.musculus	1.0	Q8BNA6	100%
28	8454	H.sapiens	1.0	A2VEC9	100%	8454	M.musculus	1.0	Q8CG65	100%
29	8449	H.sapiens	1.0	Q15149	100%	8449	M.musculus	1.0	Q9QXS1	100%
30	8405	H.sapiens	1.0	Q96JB1	100%	8405	M.musculus	1.0	Q91XQ0	100%
31	8391	H.sapiens	1.0	Q7Z6Z7	100%	8391	M.musculus	1.0	Q7TMY8	100%
32	8386	H.sapiens	1.0	Q8NDA2	100%	8386	M.musculus	1.0	A2AJ76	100%
33	8382	H.sapiens	1.0	Q8TE73	100%	8382	M.musculus	1.0	Q8VHE6	100%
34	8281	H.sapiens	1.0	Q14517	100%	8281	M.musculus	1.0	F2Z4A3	100%
35	8233	H.sapiens	1.0	Q9UFH2	100%	8233	M.musculus	1.0	Q69Z23	100%
36	8183	H.sapiens	1.0	Q5THJ4	100%	8183	M.musculus	1.0	B1ART2	100%
37	8129	H.sapiens	1.0	Q9P225	100%	8129	M.musculus	1.0	P0C6F1	100%
38	8110	H.sapiens	1.0	Q4G0P3	100%	8110	M.musculus	1.0	Q80W93	100%
39	8102	H.sapiens	1.0	Q8NCM8	100%	8102	M.musculus	1.0	Q45VK7	100%
