proteinID_x,Aggregation_x,clusterNumber,length_x,proteinID_y,Aggregation_y,length_y,diff_length,gene_name,Pasta_Aggregation_x,Pasta_Aggregation_y
G5B678,4.147275862068965,10769,261,Q3UHI4,3.3059447852760746,326,-65,Tmed8,0.38314175661471267,0.3067484678329754
G5AQ71,3.033646250000001,122,2400,A2CG49,3.0074527665317135,2964,-564,Kalrn,0.04166666714566841,0.03373819252675963
G5C1Q7,2.982352173913043,12306,230,A0A1W2P7S4,1.0826086956521737,437,-207,Gm21964,0.434782613414348,0.22883295011416485
G5BQT4,4.179274566473988,8419,346,Q9QYK9,4.195597667638485,343,3,Pnck,0.2890173422988352,0.2915451884653647
G5CB95,2.1973788063337407,3953,821,Q8C120,1.6442779043280176,878,-57,Sh3rf3,0.12180267986791339,0.11389521404144076
G5BYK8,1.9703959390862935,5819,591,Q7TPN9,1.9757875816993475,612,-21,Prr14,0.1692047393879249,0.16339869204647442
G5B0K6,2.5172802547770696,14741,157,Q9DAM3,0.027410714285714288,168,-11,Hspb9,0.6369426959525544,0.595238111927381
G5BVD4,3.285753694581281,7173,406,P54728,3.1331418269230764,416,-10,Rad23b,0.2463053895338474,0.24038463274608624
G5BAK5,1.3644,13963,125,Q9DAK4,0.4004924242424242,132,-7,Fabp12,0.7999999429760001,0.7575757583181816
G5AUZ1,3.3905170340681385,4542,499,Q60676,3.371380761523047,499,0,Ppp5c,0.2004007999825774,0.2004007992027895
G5BGU2,2.344767590618336,5424,469,O54829,2.3570618336886984,469,0,Rgs7,0.2132196108629638,0.2132196144081237
G5AUT8,0.529314928425358,4976,489,Q8BH43,0.6462072434607647,497,-8,Wasf2,0.2044989682721636,0.2012072387952544
G5B5W3,4.329592065106812,1442,983,Q8BGQ7,4.530447314049586,968,15,Aars,0.1017293997193082,0.10330578460388945
G5BQH3,4.399154228855724,10460,402,P06728,2.897144303797468,395,7,Apoa4,0.248756215885149,0.25316455611148597
G5B745,0.0918180212014134,4068,566,Q8BQ46,0.09330341113105924,557,9,Taf15,0.17667844447226155,0.179533215578474
G5BZV2,3.485055263157893,2214,760,Q3UA37,3.4694015444015442,777,-17,Qrich1,0.1315789454141475,0.12870013122020244
G5AXK5,3.5170801186943628,7716,337,Q9D832,3.059400593471811,337,0,Dnajb4,0.29673591499946556,0.296735909728095
